fecha;hora;tecnologia;value
2022-01-18;11;HI;221.34
2022-01-18;12;HI;217.44
2022-01-18;13;HI;216.73
2022-01-18;14;HI;216.73
2022-01-18;15;HI;215.42
2022-01-18;16;HI;212.24
2022-01-18;17;TCC;218.0
2022-01-18;18;HI;231.78
2022-01-18;19;HI;254.81
2022-01-18;20;BG;272.22
2022-01-18;21;HI;259.29
2022-01-18;22;HI;240.0
2022-01-18;23;HI;225.84
2022-01-18;24;HI;213.54
2022-01-19;1;TCC;224.68
2022-01-19;2;HI;215.46
2022-01-19;3;HI;203.69
2022-01-19;4;HI;193.91
2022-01-19;5;RE;188.7
2022-01-19;6;HI;195.36
2022-01-19;7;HI;222.81
2022-01-19;8;HI;226.95
2022-01-19;9;HI;239.14
2022-01-19;10;HI;230.85
2022-01-19;11;TCC;216.18
2022-01-19;12;TCC;207.56
2022-01-19;13;TCC;207.56
2022-01-19;14;TCC;206.96
2022-01-19;15;HI;180.3
2022-01-19;16;HI;179.64
2022-01-19;17;TCC;184.2
2022-01-19;18;HI;217.64
2022-01-19;19;HI;238.1
2022-01-19;20;BG;259.81
2022-01-19;21;BG;254.21
2022-01-19;22;TCC;222.26
2022-01-19;23;TCC;208.8
2022-01-19;24;HI;191.09
2022-01-20;1;HI;194.18
2022-01-20;2;HI;185.18
2022-01-20;3;TCC;179.53
2022-01-20;4;TCC;171.43
2022-01-20;5;HI;168.18
2022-01-20;6;TCC;176.44
2022-01-20;7;HI;185.01
2022-01-20;8;HI;206.41
2022-01-20;9;HI;218.11
2022-01-20;10;HI;216.81
2022-01-20;11;HI;206.41
2022-01-20;12;HI;185.21
2022-01-20;13;TCC;172.66
2022-01-20;14;RE;172.01
2022-01-20;15;HI;163.11
2022-01-20;16;HI;160.69
2022-01-20;17;HI;164.05
2022-01-20;18;HI;202.51
2022-01-20;19;HI;215.51
2022-01-20;20;HI;239.38
2022-01-20;21;HI;220.63
2022-01-20;22;HI;209.01
2022-01-20;23;TCC;186.44
2022-01-20;24;TCC;176.44
2022-01-21;1;BG;180.0
2022-01-21;2;RE;162.97
2022-01-21;3;TCC;159.5
2022-01-21;4;TCC;154.7
2022-01-21;5;HI;154.7
2022-01-21;6;HI;159.4
2022-01-21;7;RE;161.1
2022-01-21;8;HI;185.0
2022-01-21;9;HI;205.22
2022-01-21;10;TER;204.3
2022-01-21;11;HI;184.57
2022-01-21;12;HI;162.97
2022-01-21;13;HI;161.52
2022-01-21;14;TCC;161.8
2022-01-21;15;TER;161.1
2022-01-21;16;TCC;160.0
2022-01-21;17;TCC;162.97
2022-01-21;18;TER;184.67
2022-01-21;19;RE;206.15
2022-01-21;20;RE;214.7
2022-01-21;21;TCC;214.68
2022-01-21;22;HI;209.57
2022-01-21;23;HI;201.7
2022-01-21;24;RE;184.86
2022-01-22;1;TCC;192.89
2022-01-22;2;TCC;175.0
2022-01-22;3;TCC;168.46
2022-01-22;4;RE;166.9
2022-01-22;5;RE;167.0
2022-01-22;6;TCC;168.0
2022-01-22;7;HI;169.94
2022-01-22;8;HI;169.94
2022-01-22;9;HI;168.98
2022-01-22;10;TCC;182.3
2022-01-22;11;RE;188.29
2022-01-22;12;TCC;184.0
2022-01-22;13;TCC;184.39
2022-01-22;14;HI;191.05
2022-01-22;15;HI;189.99
2022-01-22;16;TCC;191.5
2022-01-22;17;HI;193.9
2022-01-22;18;HI;204.99
2022-01-22;19;HI;227.41
2022-01-22;20;BG;245.27
2022-01-22;21;HI;227.75
2022-01-22;22;HI;212.0
2022-01-22;23;HI;203.0
2022-01-22;24;HI;197.0
2022-01-23;1;TCC;197.14
2022-01-23;2;HI;190.0
2022-01-23;3;TCC;187.98
2022-01-23;4;TCC;179.73
2022-01-23;5;TCC;179.04
2022-01-23;6;TCC;179.49
2022-01-23;7;HI;179.93
2022-01-23;8;TCC;189.99
2022-01-23;9;HI;190.0
2022-01-23;10;TCC;195.31
2022-01-23;11;TCC;195.34
2022-01-23;12;TCC;195.87
2022-01-23;13;TCC;195.41
2022-01-23;14;TCC;186.29
2022-01-23;15;HI;184.49
2022-01-23;16;HI;190.0
2022-01-23;17;HI;194.0
2022-01-23;18;TCC;214.95
2022-01-23;19;HI;239.49
2022-01-23;20;HI;244.31
2022-01-23;21;BG;249.0
2022-01-23;22;HI;247.3
2022-01-23;23;HI;222.8
2022-01-23;24;HI;204.3
2022-01-24;1;TCC;190.27
2022-01-24;2;TCC;179.97
2022-01-24;3;TCC;178.99
2022-01-24;4;RE;177.46
2022-01-24;5;RE;177.61
2022-01-24;6;HI;190.0
2022-01-24;7;HI;224.83
2022-01-24;8;BG;237.53
2022-01-24;9;TCC;243.47
2022-01-24;10;TCC;243.47
2022-01-24;11;BG;239.52
2022-01-24;12;HI;233.99
2022-01-24;13;BG;231.21
2022-01-24;14;BG;230.63
2022-01-24;15;TCC;229.4
2022-01-24;16;HI;230.5
2022-01-24;17;HI;231.77
2022-01-24;18;BG;240.0
2022-01-24;19;HI;265.0
2022-01-24;20;RE;297.33
2022-01-24;21;TCC;274.98
2022-01-24;22;BG;250.0
2022-01-24;23;TCC;235.02
2022-01-24;24;HI;215.02
2022-01-25;1;HI;220.27
2022-01-25;2;RE;212.9
2022-01-25;3;TCC;203.75
2022-01-25;4;TCC;196.24
2022-01-25;5;TCC;198.89
2022-01-25;6;TCC;215.01
2022-01-25;7;RE;225.0
2022-01-25;8;HI;228.36
2022-01-25;9;HI;236.4
2022-01-25;10;HI;235.1
2022-01-25;11;HI;227.41
2022-01-25;12;HI;222.8
2022-01-25;13;TCC;219.5
2022-01-25;14;HI;216.53
2022-01-25;15;HI;216.31
2022-01-25;16;TCC;219.89
2022-01-25;17;TCC;226.0
2022-01-25;18;HI;231.02
2022-01-25;19;BG;239.1
2022-01-25;20;HI;248.53
2022-01-25;21;HI;256.36
2022-01-25;22;HI;242.0
2022-01-25;23;RE;229.9
2022-01-25;24;HI;214.41
2022-01-26;1;HI;244.86
2022-01-26;2;HI;235.0
2022-01-26;3;RE;231.86
2022-01-26;4;HI;228.0
2022-01-26;5;HI;225.01
2022-01-26;6;HI;233.16
2022-01-26;7;HI;233.16
2022-01-26;8;HI;238.57
2022-01-26;9;TCC;243.97
2022-01-26;10;HI;243.97
2022-01-26;11;HI;239.66
2022-01-26;12;HI;237.81
2022-01-26;13;TCC;234.69
2022-01-26;14;BG;233.16
2022-01-26;15;HI;229.47
2022-01-26;16;TCC;229.17
2022-01-26;17;TCC;234.18
2022-01-26;18;BG;237.92
2022-01-26;19;BG;243.97
2022-01-26;20;HI;248.76
2022-01-26;21;HI;250.0
2022-01-26;22;RE;243.97
2022-01-26;23;HI;235.92
2022-01-26;24;TCC;226.27
2022-01-27;1;TCC;238.4
2022-01-27;2;TCC;229.89
2022-01-27;3;HI;229.0
2022-01-27;4;HI;221.4
2022-01-27;5;TCC;219.0
2022-01-27;6;RE;220.0
2022-01-27;7;TCC;223.66
2022-01-27;8;HI;237.0
2022-01-27;9;HI;248.8
2022-01-27;10;HI;248.8
2022-01-27;11;RE;238.1
2022-01-27;12;TCC;229.89
2022-01-27;13;HI;230.5
2022-01-27;14;HI;231.0
2022-01-27;15;HI;226.6
2022-01-27;16;RE;225.0
2022-01-27;17;TCC;229.5
2022-01-27;18;HI;237.0
2022-01-27;19;RE;244.0
2022-01-27;20;RE;249.01
2022-01-27;21;BG;248.35
2022-01-27;22;HI;237.0
2022-01-27;23;RE;215.75
2022-01-27;24;TCC;222.4
2022-01-28;1;HI;232.13
2022-01-28;2;RE;220.0
2022-01-28;3;RE;209.1
2022-01-28;4;RE;199.5
2022-01-28;5;RE;190.0
2022-01-28;6;HI;204.5
2022-01-28;7;RE;223.8
2022-01-28;8;HI;243.17
2022-01-28;9;HI;250.73
2022-01-28;10;HI;246.03
2022-01-28;11;TCC;230.29
2022-01-28;12;HI;221.53
2022-01-28;13;TCC;217.46
2022-01-28;14;TCC;211.88
2022-01-28;15;TCC;193.61
2022-01-28;16;RE;203.42
2022-01-28;17;RE;215.01
2022-01-28;18;HI;237.45
2022-01-28;19;RE;249.2
2022-01-28;20;HI;255.38
2022-01-28;21;BG;250.0
2022-01-28;22;HI;238.88
2022-01-28;23;HI;229.05
2022-01-28;24;TCC;217.99
2022-01-29;1;HI;228.06
2022-01-29;2;TCC;216.52
2022-01-29;3;RE;199.56
2022-01-29;4;TCC;204.94
2022-01-29;5;RE;202.12
2022-01-29;6;TCC;196.98
2022-01-29;7;RE;208.12
2022-01-29;8;RE;224.53
2022-01-29;9;HI;238.74
2022-01-29;10;HI;235.88
2022-01-29;11;HI;236.02
2022-01-29;12;HI;220.87
2022-01-29;13;TCC;217.41
2022-01-29;14;TCC;212.19
2022-01-29;15;TCC;206.99
2022-01-29;16;RE;181.97
2022-01-29;17;RE;182.25
2022-01-29;18;HI;221.53
2022-01-29;19;HI;247.0
2022-01-29;20;HI;263.03
2022-01-29;21;HI;259.94
2022-01-29;22;BG;259.94
2022-01-29;23;BG;250.73
2022-01-29;24;HI;245.2
2022-01-30;1;RE;234.5
2022-01-30;2;RE;220.58
2022-01-30;3;RE;216.0
2022-01-30;4;RE;207.63
2022-01-30;5;RE;206.5
2022-01-30;6;TCC;211.34
2022-01-30;7;RE;214.0
2022-01-30;8;TCC;223.0
2022-01-30;9;HI;218.0
2022-01-30;10;RE;229.0
2022-01-30;11;HI;223.53
2022-01-30;12;TCC;231.2
2022-01-30;13;TCC;234.89
2022-01-30;14;TCC;221.86
2022-01-30;15;TCC;214.01
2022-01-30;16;RE;209.03
2022-01-30;17;RE;220.0
2022-01-30;18;TCC;229.0
2022-01-30;19;BG;261.5
2022-01-30;20;HI;263.39
2022-01-30;21;BG;268.65
2022-01-30;22;HI;266.01
2022-01-30;23;HI;257.55
2022-01-30;24;BG;250.94
2022-01-31;1;HI;242.36
2022-01-31;2;HI;222.0
2022-01-31;3;HI;193.43
2022-01-31;4;RE;179.75
2022-01-31;5;RE;167.8
2022-01-31;6;RE;167.8
2022-01-31;7;HI;193.09
2022-01-31;8;TCC;240.0
2022-01-31;9;HI;251.24
2022-01-31;10;HI;251.92
2022-01-31;11;HI;248.08
2022-01-31;12;HI;243.21
2022-01-31;13;RE;237.81
2022-01-31;14;TCC;221.57
2022-01-31;15;RE;207.22
2022-01-31;16;HI;193.81
2022-01-31;17;TCC;195.13
2022-01-31;18;RE;240.67
2022-01-31;19;TCC;253.8
2022-01-31;20;HI;260.0
2022-01-31;21;BG;252.22
2022-01-31;22;HI;240.0
2022-01-31;23;RE;218.69
2022-01-31;24;HI;202.01
2022-02-01;1;TCC;208.4
2022-02-01;2;HI;191.95
2022-02-01;3;HI;191.65
2022-02-01;4;RE;186.1
2022-02-01;5;RE;169.97
2022-02-01;6;RE;181.0
2022-02-01;7;HI;191.94
2022-02-01;8;HI;227.0
2022-02-01;9;RE;250.0
2022-02-01;10;HI;233.19
2022-02-01;11;TCC;196.84
2022-02-01;12;HI;191.65
2022-02-01;13;HI;191.1
2022-02-01;14;RE;190.02
2022-02-01;15;RE;191.09
2022-02-01;16;TER;171.89
2022-02-01;17;RE;190.96
2022-02-01;18;HI;216.88
2022-02-01;19;RE;245.01
2022-02-01;20;HI;253.0
2022-02-01;21;HI;251.87
2022-02-01;22;HI;226.04
2022-02-01;23;TCC;207.14
2022-02-01;24;TCC;202.3
2022-02-02;1;TCC;184.75
2022-02-02;2;TCC;178.69
2022-02-02;3;RE;170.1
2022-02-02;4;RE;168.08
2022-02-02;5;RE;169.53
2022-02-02;6;TCC;174.97
2022-02-02;7;TCC;182.0
2022-02-02;8;HI;220.72
2022-02-02;9;HI;223.5
2022-02-02;10;HI;225.02
2022-02-02;11;TCC;207.27
2022-02-02;12;HI;193.94
2022-02-02;13;TCC;196.3
2022-02-02;14;RE;195.0
2022-02-02;15;TCC;193.94
2022-02-02;16;TCC;193.09
2022-02-02;17;HI;201.53
2022-02-02;17;RE;201.53
2022-02-02;18;HI;238.01
2022-02-02;19;HI;266.9
2022-02-02;20;HI;267.88
2022-02-02;21;BG;270.09
2022-02-02;22;HI;267.97
2022-02-02;23;HI;239.95
2022-02-02;24;HI;215.0
2022-02-03;1;HI;215.0
2022-02-03;2;TCC;189.09
2022-02-03;3;TCC;182.37
2022-02-03;4;TCC;178.3
2022-02-03;5;TER;173.25
2022-02-03;6;TCC;181.5
2022-02-03;7;TCC;193.21
2022-02-03;8;HI;232.74
2022-02-03;9;RE;246.0
2022-02-03;10;HI;231.79
2022-02-03;11;TCC;213.26
2022-02-03;12;TCC;209.0
2022-02-03;13;RE;199.1
2022-02-03;14;TCC;192.68
2022-02-03;15;HI;189.95
2022-02-03;16;RE;189.94
2022-02-03;17;HI;200.0
2022-02-03;17;RE;200.0
2022-02-03;18;HI;224.15
2022-02-03;19;RE;237.72
2022-02-03;20;RE;245.68
2022-02-03;21;HI;240.0
2022-02-03;22;HI;225.01
2022-02-03;23;TCC;204.88
2022-02-03;24;TCC;194.74
2022-02-04;1;TCC;197.0
2022-02-04;2;TCC;181.32
2022-02-04;3;RE;179.34
2022-02-04;4;TCC;167.44
2022-02-04;5;TCC;166.59
2022-02-04;6;TCC;167.44
2022-02-04;7;RE;180.05
2022-02-04;8;HI;217.32
2022-02-04;9;HI;227.87
2022-02-04;10;HI;227.87
2022-02-04;11;HI;220.72
2022-02-04;12;HI;200.03
2022-02-04;13;TCC;190.0
2022-02-04;14;RE;179.85
2022-02-04;15;RE;179.95
2022-02-04;16;TCC;174.54
2022-02-04;17;RE;179.55
2022-02-04;18;TCC;196.31
2022-02-04;19;HI;218.63
2022-02-04;20;RE;233.34
2022-02-04;21;HI;227.66
2022-02-04;22;HI;223.58
2022-02-04;23;TCC;204.74
2022-02-04;24;HI;187.49
2022-02-05;1;HI;217.32
2022-02-05;2;HI;215.0
2022-02-05;2;RE;215.0
